Date,DateKey,Year,Month,Day,Week,Quarter
2010-02-05,20100205,2010,2,5,5,1
2010-02-12,20100212,2010,2,12,6,1
2010-02-19,20100219,2010,2,19,7,1
2010-02-26,20100226,2010,2,26,8,1
2010-03-05,20100305,2010,3,5,9,1
2010-03-12,20100312,2010,3,12,10,1
2010-03-19,20100319,2010,3,19,11,1
2010-03-26,20100326,2010,3,26,12,1
2010-04-02,20100402,2010,4,2,13,2
2010-04-09,20100409,2010,4,9,14,2
2010-04-16,20100416,2010,4,16,15,2
2010-04-23,20100423,2010,4,23,16,2
2010-04-30,20100430,2010,4,30,17,2
2010-05-07,20100507,2010,5,7,18,2
2010-05-14,20100514,2010,5,14,19,2
2010-05-21,20100521,2010,5,21,20,2
2010-05-28,20100528,2010,5,28,21,2
2010-06-04,20100604,2010,6,4,22,2
2010-06-11,20100611,2010,6,11,23,2
2010-06-18,20100618,2010,6,18,24,2
2010-06-25,20100625,2010,6,25,25,2
2010-07-02,20100702,2010,7,2,26,3
2010-07-09,20100709,2010,7,9,27,3
2010-07-16,20100716,2010,7,16,28,3
2010-07-23,20100723,2010,7,23,29,3
2010-07-30,20100730,2010,7,30,30,3
2010-08-06,20100806,2010,8,6,31,3
2010-08-13,20100813,2010,8,13,32,3
2010-08-20,20100820,2010,8,20,33,3
2010-08-27,20100827,2010,8,27,34,3
2010-09-03,20100903,2010,9,3,35,3
2010-09-10,20100910,2010,9,10,36,3
2010-09-17,20100917,2010,9,17,37,3
2010-09-24,20100924,2010,9,24,38,3
2010-10-01,20101001,2010,10,1,39,4
2010-10-08,20101008,2010,10,8,40,4
2010-10-15,20101015,2010,10,15,41,4
2010-10-22,20101022,2010,10,22,42,4
2010-10-29,20101029,2010,10,29,43,4
2010-11-05,20101105,2010,11,5,44,4
2010-11-12,20101112,2010,11,12,45,4
2010-11-19,20101119,2010,11,19,46,4
2010-11-26,20101126,2010,11,26,47,4
2010-12-03,20101203,2010,12,3,48,4
2010-12-10,20101210,2010,12,10,49,4
2010-12-17,20101217,2010,12,17,50,4
2010-12-24,20101224,2010,12,24,51,4
2010-12-31,20101231,2010,12,31,52,4
2011-01-07,20110107,2011,1,7,1,1
2011-01-14,20110114,2011,1,14,2,1
2011-01-21,20110121,2011,1,21,3,1
2011-01-28,20110128,2011,1,28,4,1
2011-02-04,20110204,2011,2,4,5,1
2011-02-11,20110211,2011,2,11,6,1
2011-02-18,20110218,2011,2,18,7,1
2011-02-25,20110225,2011,2,25,8,1
2011-03-04,20110304,2011,3,4,9,1
2011-03-11,20110311,2011,3,11,10,1
2011-03-18,20110318,2011,3,18,11,1
2011-03-25,20110325,2011,3,25,12,1
2011-04-01,20110401,2011,4,1,13,2
2011-04-08,20110408,2011,4,8,14,2
2011-04-15,20110415,2011,4,15,15,2
2011-04-22,20110422,2011,4,22,16,2
2011-04-29,20110429,2011,4,29,17,2
2011-05-06,20110506,2011,5,6,18,2
2011-05-13,20110513,2011,5,13,19,2
2011-05-20,20110520,2011,5,20,20,2
2011-05-27,20110527,2011,5,27,21,2
2011-06-03,20110603,2011,6,3,22,2
2011-06-10,20110610,2011,6,10,23,2
2011-06-17,20110617,2011,6,17,24,2
2011-06-24,20110624,2011,6,24,25,2
2011-07-01,20110701,2011,7,1,26,3
2011-07-08,20110708,2011,7,8,27,3
2011-07-15,20110715,2011,7,15,28,3
2011-07-22,20110722,2011,7,22,29,3
2011-07-29,20110729,2011,7,29,30,3
2011-08-05,20110805,2011,8,5,31,3
2011-08-12,20110812,2011,8,12,32,3
2011-08-19,20110819,2011,8,19,33,3
2011-08-26,20110826,2011,8,26,34,3
2011-09-02,20110902,2011,9,2,35,3
2011-09-09,20110909,2011,9,9,36,3
2011-09-16,20110916,2011,9,16,37,3
2011-09-23,20110923,2011,9,23,38,3
2011-09-30,20110930,2011,9,30,39,3
2011-10-07,20111007,2011,10,7,40,4
2011-10-14,20111014,2011,10,14,41,4
2011-10-21,20111021,2011,10,21,42,4
2011-10-28,20111028,2011,10,28,43,4
2011-11-04,20111104,2011,11,4,44,4
2011-11-11,20111111,2011,11,11,45,4
2011-11-18,20111118,2011,11,18,46,4
2011-11-25,20111125,2011,11,25,47,4
2011-12-02,20111202,2011,12,2,48,4
2011-12-09,20111209,2011,12,9,49,4
2011-12-16,20111216,2011,12,16,50,4
2011-12-23,20111223,2011,12,23,51,4
2011-12-30,20111230,2011,12,30,52,4
2012-01-06,20120106,2012,1,6,1,1
2012-01-13,20120113,2012,1,13,2,1
2012-01-20,20120120,2012,1,20,3,1
2012-01-27,20120127,2012,1,27,4,1
2012-02-03,20120203,2012,2,3,5,1
2012-02-10,20120210,2012,2,10,6,1
2012-02-17,20120217,2012,2,17,7,1
2012-02-24,20120224,2012,2,24,8,1
2012-03-02,20120302,2012,3,2,9,1
2012-03-09,20120309,2012,3,9,10,1
2012-03-16,20120316,2012,3,16,11,1
2012-03-23,20120323,2012,3,23,12,1
2012-03-30,20120330,2012,3,30,13,1
2012-04-06,20120406,2012,4,6,14,2
2012-04-13,20120413,2012,4,13,15,2
2012-04-20,20120420,2012,4,20,16,2
2012-04-27,20120427,2012,4,27,17,2
2012-05-04,20120504,2012,5,4,18,2
2012-05-11,20120511,2012,5,11,19,2
2012-05-18,20120518,2012,5,18,20,2
2012-05-25,20120525,2012,5,25,21,2
2012-06-01,20120601,2012,6,1,22,2
2012-06-08,20120608,2012,6,8,23,2
2012-06-15,20120615,2012,6,15,24,2
2012-06-22,20120622,2012,6,22,25,2
2012-06-29,20120629,2012,6,29,26,2
2012-07-06,20120706,2012,7,6,27,3
2012-07-13,20120713,2012,7,13,28,3
2012-07-20,20120720,2012,7,20,29,3
2012-07-27,20120727,2012,7,27,30,3
2012-08-03,20120803,2012,8,3,31,3
2012-08-10,20120810,2012,8,10,32,3
2012-08-17,20120817,2012,8,17,33,3
2012-08-24,20120824,2012,8,24,34,3
2012-08-31,20120831,2012,8,31,35,3
2012-09-07,20120907,2012,9,7,36,3
2012-09-14,20120914,2012,9,14,37,3
2012-09-21,20120921,2012,9,21,38,3
2012-09-28,20120928,2012,9,28,39,3
2012-10-05,20121005,2012,10,5,40,4
2012-10-12,20121012,2012,10,12,41,4
2012-10-19,20121019,2012,10,19,42,4
2012-10-26,20121026,2012,10,26,43,4
